Mural Registration ID,Image Link,Image
19285,https://cst.brightspotcdn.com/dims4/default/b7f2ffa/2147483647/strip/true/crop/1833x1255+0+0/resize/840x575!/quality/90/?url=https%3A%2F%2Fcdn.vox-cdn.com%2Fthumbor%2F1k_C3rC7pyup-CZ-kX-TbgFJxPY%3D%2F0x0%3A1833x1255%2F1833x1255%2Ffilters%3Afocal%28917x628%3A918x629%29%2Fcdn.vox-cdn.com%2Fuploads%2Fchorus_asset%2Ffile%2F22667400%2FMural_Walk_061621_08.jpeg,Picture
19371,https://masa-aws.imgix.net/1574785692.jpg?auto=format,Picture
19178,https://images.squarespace-cdn.com/content/v1/5c49e5bd0dbda364fd8f97ea/1553542957589-59XSZQ68F397NU82R51T/150810_623SWabashMural_CCediel_MG_3064_web_2560.jpg?format=1500w,Picture
19205,https://www.eelcovandenberg.com/wp-content/uploads/original_dampkring_gallery.jpg,Picture
19328,,#VALUE!
19157,,#VALUE!
19418,https://masa-aws.imgix.net/react-1667849313043.jpg?auto=format,Picture
19147,,#VALUE!
19373,https://cdn.myportfolio.com/1d8e54e6-ae5a-4d6a-8a28-57b7e374d96a/5f3af23d-796a-4729-a111-384155ee5e38_rw_1200.jpg?h=487834bf5597c33fc837db0772bb9bb0,Picture
19187,https://eyesonthestreets.blog/wp-content/uploads/2024/08/cropped-famous_musicians_mural-3.jpg,Picture
19329,,#VALUE!
19166,,#VALUE!
19333,,#VALUE!
19293,https://loopchicago.com/assets/Tourism-Operators/images/10_Shawnimals_Make-It-Good.jpg,Picture
19319,,#VALUE!
19315,,#VALUE!
19180,https://media.gettyimages.com/id/1142008748/photo/chicago-kashinks-be-the-change-you-wish-to-see-mural-part-of-the-wabash-arts-corridor-is.jpg?s=612x612&w=gi&k=20&c=RGEUZQXEXtHsNbNMWY-Nzg5LQaycc5qLEP0Xu8hIQYY=,Picture
19376,,#VALUE!
19090,,#VALUE!
19184,https://www.thisiscolossal.com/wp-content/uploads/2016/05/collin-1.jpg,Picture
19161,,#VALUE!
19186,https://media.gettyimages.com/id/1143309905/photo/chicago-cityscapes-and-city-views.jpg?s=612x612&w=gi&k=20&c=te-D3LUJir1UE6UC0Ohe805EDgr3n1M7Oy4IWS_ICBs=,Picture
19251,,#VALUE!
19336,,#VALUE!
19313,,#VALUE!
19331,,#VALUE!
19173,https://www.artnet.com/WebServices/images/ll2722047llg1BkR3CfDrCWBHBAD/retna-provocateurs.jpg,Picture
19172,,#VALUE!
19163,https://cydsmillie.com/wp-content/uploads/2017/07/baseball-rules-slider-768x576.jpg,Picture
19080,,#VALUE!
19164,https://cydsmillie.com/wp-content/uploads/2017/07/110.png,Picture
19444,https://ravenswoodchicago.org/wp-content/uploads/2022/11/ponnopozz-mural-north-wall_01-edited-600x338.jpg,Picture
19321,,#VALUE!
19094,,#VALUE!
